ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
avar-1_ground-1,,avar,1_ground,ракь,ракь,р а <?> <?>,,lexcauc,,,^р а к ь$,default
avar-2_earth-1,,avar,2_earth,ракь,ракь,р а <?> <?>,,lexcauc,,,^р а к ь$,default
avar-3_dust-1,,avar,3_dust,хӀур,хӀур,<?> <?> <?> р,,lexcauc,,,^х Ӏ у р$,default
avar-4_mud-1,,avar,4_mud,хӀарщ,хӀарщ,<?> <?> а р <?>,,lexcauc,,,^х Ӏ а р щ$,default
avar-5_sand-1,,avar,5_sand,сaли,сaли,<?> a <?> <?>,,lexcauc,,,^с a л и$,default
avar-6_mountain-1,,avar,6_mountain,мегӀeр,мегӀeр,<?> е <?> <?> e р,,lexcauc,,,^м е г Ӏ e р$,default
avar-7_hill-1,,avar,7_hill,гохӀ,гохӀ,<?> <?> <?> <?>,,lexcauc,,,^г о х Ӏ$,default
avar-8_sunnyslope-1,,avar,8_sunnyslope,бакълъи,бакълъи,<?> а <?> <?> <?> <?> <?>,,lexcauc,,,^б а к ъ л ъ и$,default
avar-9_shadyslope-1,,avar,9_shadyslope,хьонлъи,хьонлъи,<?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^х ь о н л ъ и$,default
avar-10_cliff-1,,avar,10_cliff,кьуру,кьуру,<?> <?> <?> р <?>,,lexcauc,,,^к ь у р у$,default
avar-11_lowland-1,,avar,11_lowland,авлахъ,авлахъ,а <?> <?> а <?> <?>,,lexcauc,,,^а в л а х ъ$,default
avar-12_valley-1,,avar,12_valley,расaлъи,расaлъи,р а <?> a <?> <?> <?>,,lexcauc,,,^р а с a л ъ и$,default
avar-13_cave-1,,avar,13_cave,нохъо,нохъо,<?> <?> <?> <?> <?>,,lexcauc,,,^н о х ъ о$,default
avar-14_water-1,,avar,14_water,лълъим,лълъим,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^л ъ л ъ и м$,default
avar-15_sea-1,,avar,15_sea,ралъaд,ралъaд,р а <?> <?> a <?>,,lexcauc,,,^р а л ъ a д$,default
avar-16_foam-1,,avar,16_foam,полоп,полоп,<?> <?> <?> <?> <?>,,lexcauc,,,^п о л о п$,default
avar-17_lake-1,,avar,17_lake,хӀор,хӀор,<?> <?> <?> р,,lexcauc,,,^х Ӏ о р$,default
avar-18_river-1,,avar,18_river,гӀор,гӀор,<?> <?> <?> р,,lexcauc,,,^г Ӏ о р$,default
avar-19_creek-1,,avar,19_creek,лъар,лъар,<?> <?> а р,,lexcauc,,,^л ъ а р$,default
avar-20_spring-1,,avar,20_spring,ицц,ицц,<?> <?>,,lexcauc,,,^и цц$,default
avar-21_swamp-1,,avar,21_swamp,хьуцӀцӀ,хьуцӀцӀ,<?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^х ь у ц Ӏ ц Ӏ$,default
