ID,Name,Concepticon_ID,Concepticon_Gloss,Russian_Gloss,Number
1_ground,GROUND,2159,GROUND,ЗЕМЛЯ (ПОВЕРХНОСТЬ),1
2_earth,EARTH,1228,EARTH,ЗЕМЛЯ (ПОЧВА),2
3_dust,DUST,2,DUST,ПЫЛЬ,3
4_mud,MUD,640,MUD,ГРЯЗЬ,4
5_sand,SAND,671,SAND,ПЕСОК,5
6_mountain,MOUNTAIN,639,MOUNTAIN,ГОРА,6
7_hill,HILL,614,HILL,ХОЛМ,7
8_sunnyslope,SUNNY SLOPE,,SUNNY SLOPE,СОЛНЕЧНЫЙ СКЛОН ГОРЫ,8
9_shadyslope,SHADY SLOPE,,SHADY SLOPE,ТЕНЕВОЙ СКЛОН ГОРЫ,9
10_cliff,CLIFF,992,CLIFF,СКАЛА,10
11_lowland,LOWLAND,652,LOWLAND,РАВНИНА,11
12_valley,VALLEY,921,VALLEY,ДОЛИНА,12
13_cave,CAVE,1155,CAVE,ПЕЩЕРА,13
14_water,WATER,948,WATER,ВОДА,14
15_sea,SEA,1474,SEA,МОРЕ,15
16_foam,FOAM,1768,FOAM,ПЕНА,16
17_lake,LAKE,624,LAKE,ОЗЕРО,17
18_river,RIVER,666,RIVER,РЕКА,18
19_creek,CREEK,947,CREEK,РУЧЕЙ,19
20_spring,SPRING,849,SPRING,РОДНИК,20
21_swamp,SWAMP,1145,SWAMP,БОЛОТО,21
22_forest,FOREST,420,FOREST,ЛЕС,22
23_stone,STONE,2125,STONE,КАМЕНЬ,23
24_pebble,PEBBLE,961,PEBBLE,КАМЕШЕК,24
25_gravel,GRAVEL,3028,GRAVEL,ГРАВИЙ,25
26_sky,SKY,1732,SKY,НЕБО,26
27_sun,SUN,1343,SUN,СОЛНЦЕ,27
28_moon,MOON,1313,MOON,ЛУНА,28
29_star,STAR,1430,STAR,ЗВЕЗДА,29
30_lightning,LIGHTNING,1654,LIGHTNING,МОЛНИЯ,30
31_thunder,THUNDER,1150,THUNDER,ГРОМ,31
32_rainbow,RAINBOW,1733,RAINBOW,РАДУГА,32
33_light,LIGHT,630,LIGHT,СВЕТ,33
34_shadow,SHADOW,2275,SHADOW,ТЕНЬ,34
35_dew,DEW,1977,DEW,РОСА,35
36_wind,WIND,960,WIND,ВЕТЕР,36
37_cloud,CLOUD,1489,CLOUD,ОБЛАКО,37
38_fog,FOG,249,FOG,ТУМАН,38
39_rain,RAIN,658,RAIN,ДОЖДЬ,39
40_snow,SNOW,784,SNOW,СНЕГ,40
41_hail,HAIL,609,HAIL,ГРАД,41
42_rainv,RAIN (V),1253,RAIN (V),ИДТИ (О ДОЖДЕ),42
43_ice,ICE,617,ICE,ЛЁД,43
44_frost,FROST,2942,FROST,ИНЕЙ,44
45_freeze,FREEZE,,FREEZE,МЁРЗНУТЬ,45
46_meltintr,MELT (INTR),2334,MELT (INTR),ТАЯТЬ,46
47_melttr,MELT (TR),,MELT (TR),РАСТАПЛИВАТЬ,47
48_fire,FIRE,221,FIRE,ОГОНЬ,48
49_smoke,SMOKE,778,SMOKE,ДЫМ,49
50_ash,ASH,646,ASH,ЗОЛА,50
51_burnintr,BURN (INTR),1428,BURN (INTR),ГОРЕТЬ,51
52_burntr,BURN (TR),141,BURN (TR),ЖЕЧЬ,52
53_startburning,START BURNING,,START BURNING,ЗАГОРАТЬСЯ,53
54_ignite,IGNITE,737,IGNITE,ЗАЖИГАТЬ,54
55_becomeextinguished,BECOME EXTINGUISHED,2209,BECOME EXTINGUISHED,ГАСНУТЬ,55
56_extinguish,EXTINGUISH,127,EXTINGUISH,ТУШИТЬ,56
57_becomecold,BECOME COLD,3068,BECOME COLD,ОСТЫВАТЬ,57
58_firewood,FIREWOOD,10,FIREWOOD,ДРОВА,58
59_charcoal,CHARCOAL,1188,CHARCOAL,УГОЛЬ,59
60_charcoalpiece,CHARCOAL PIECE,,CHARCOAL PIECE,УГОЛЁК,60
61_embers,EMBERS,67,EMBERS,ГОРЯЩИЙ УГОЛЬ,61
62_dungfuel,DUNG FUEL,,DUNG FUEL,КИЗЯК,62
63_person,PERSON,683,PERSON,ЧЕЛОВЕК,63
64_man,MAN,1554,MAN,МУЖЧИНА,64
65_woman,WOMAN,962,WOMAN,ЖЕНЩИНА,65
66_maleanimal,MALE ANIMAL,2263,MALE ANIMAL,САМЕЦ,66
67_femaleanimal,FEMALE ANIMAL,2262,FEMALE ANIMAL,САМКА,67
68_boy,BOY,1366,BOY,МАЛЬЧИК,68
69_girl,GIRL,1646,GIRL,ДЕВОЧКА,69
