Grapheme	IPA	Practical	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL					
$	NULL					
а	а	a		avar, itsari, sanzhi	100	U+0430
б	b	b		avar, itsari, sanzhi	100	U+005e U+0431
в	w	w		avar, itsari, sanzhi		
г	g	g		avar, itsari, sanzhi	100	U+005e U+0433
гъ	ʁ	ʁ		avar, itsari, sanzhi	100	U+0430 U+0024
гь	h	h		avar, itsari, sanzhi		
гӀ	ʡ	ʡ		itsari, sanzhi		
гӀ	ʕ	ʕ		avar		
д	d	d		avar, itsari, sanzhi		
е	e	e		avar, itsari, sanzhi		
ж	ʒ	ž		avar, itsari, sanzhi		
з	z	z		avar, itsari, sanzhi		
и	i	i		avar, itsari, sanzhi	100	U+0438
й	j	j		avar, itsari, sanzhi		
к	kʰ	k		avar, itsari, sanzhi	100	U+043a
кк	kː	kː		avar, itsari, sanzhi		
къ	qː	qː		itsari, sanzhi		
къ	q͡χʼ	qʼ		avar		
кь	qʼ	qʼ		itsari, sanzhi		
кь	t͡ɬʼ	ƛʼ		avar		
кӀ	kʼ	kʼ		avar, itsari, sanzhi		
у	u	u		avar, itsari, sanzhi	100	U+0443
р	r	r		avar, itsari, sanzhi	100	U+0440
л	l	l		avar, itsari, sanzhi	100	U+043b
лъ	ɬ	ɬ		avar		
лъ	t͡ɬ	ƛ		avar		
лълъ	ɬː	ɬː		avar		
лълъ	t͡ɬː	ƛː		avar		
о	o	o		avar	100	U+043e
е	е	e		avar, itsari, sanzhi	100	U+0435
н	n	n		avar, itsari, sanzhi	100	U+043d
z	z	z		avar, itsari, sanzhi	100	U+0437
х	χ	χ		avar, itsari, sanzhi	100	U+0445
хь	x	x		itsari, sanzhi		
хьхь	xː	xː		itsari, sanzhi		
хь	xː	xː		avar		
ц	<?>		моцӀцӀ, цӀцӀилицӀцӀ	avar	100	U+0446
1	<?>		л1урл1а, ц1ик1а	zilo, itsari	100	U+0031
a	a		бaхъизе, хъaнхъра	avar	100	U+0061
^х	<?>		хъaнхъра, хъвaзе	avar	100	U+005e U+0445
д	<?>		кӀyдада, цедeр	avar	100	U+0434
б	<?>		хабай, рукӀкӀаца бaсараб сурат	avar, itsari	100	U+0431
ч	<?>		гӀодочӀчӀeзе, ричӀизе	avar, itsari	100	U+0447
т	т		бетӀeр, бятӀбятӀ	avar, itsari	100	U+0442
н$	<?>		керeн, кун	avar, itsari, zilo	100	U+043d U+0024
л$	<?>		мирчӀал, хъал	avar, itsari	100	U+043b U+0024
б$	<?>		хeраб, гӀатӀидаб	avar	100	U+0431 U+0024
р$	р		бетӀeр, цедeр	avar, itsari	100	U+0440 U+0024
^м	<?>		мирчӀал, музара	avar, itsari	100	U+005e U+043c
^р	р		ричӀизе, рeкӀине	avar, zilo, itsari	100	U+005e U+0440
_	_		рукӀкӀаца бaсараб сурат, вохор дада	avar, itsari, zilo	100	U+005f
о$	<?>		гожо, кьо	avar, zilo	100	U+043e U+0024
у$	<?>		гьабу, киц1у	zilo, avar, itsari	100	U+0443 U+0024
я	<?>		хъяйхъяй, хъвясса	itsari, avar	100	U+044f
e	e		бeгизе, керeн	avar	100	U+0065
м	<?>		гомог, гӀемeр	itsari, avar, zilo	100	U+043c
с	<?>		рукӀкӀаца бaсараб сурат, васасул вас	avar, zilo, itsari	100	U+0441
^ч	<?>		ч1амми, чyризе	avar, itsari, zilo	100	U+005e U+0447
