sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
1,1,ЗЕМЛЯ (ПОВЕРХНОСТЬ),GROUND,1,,n,2159,Твёрдая поверхность земли; отличать от земли как материала и от почвы.,Hard surface of the earth.,"Животные обитают на земле, рыбы — в воде.","Animals live on land, fish live in water.",0,0,0,final,
2,2,ЗЕМЛЯ (ПОЧВА),EARTH,1,,n,1228,"Земля как почва (собственно слово ‘почва’ не подходит как профессионально маркированный или «научный» термин). Отличать от поверхности земли (‘ground’), от суши (‘land’) и т. п. Отличать от конкретизированных типов почвы: ‘красная земля’, ‘черная земля’, ‘глинистая земля’ и т. п. Те же контексты, что и в №71 ‘песок’.","‘Earth’ as ‘soil’ (but not as a specialized professional term, e.g., Eng. ‘soil’ itself). To be separated from ‘ground’ (= ‘surface’), ‘land’ (= ‘dry land’ or ‘property’), etc. Also to be separated from specific kinds of soil (‘red earth’, ‘black earth’, ‘clayey soil’ etc.). Contexts are the same as in No.71 ‘sand’.","1. Он рыл яму и выбрасывал наружу землю. 2. Он взял в горсть земли. 3. Я не знаю, что на том участке: земля или песок.","1. While digging the hole, he was throwing out the earth. 2. He took a handful of earth. 3. I don’t know whether that site contains sand or earth.",422,37,21,final,
3,3,ПЫЛЬ,DUST,1,,n,2,"Мелкие частицы твёрдого материала. В CoBL используется базовый концепт «дорожной пыли»; в дагестанском контексте предпочтительнее говорить о пыли в помещениях. Для совместимости включаются оба контекста, однако в случае использования разных слов предпочтение нужно отдавать значению ‘пыль в помещениях’.","Any kind of solid material divided in particles of very small size. The CoBL context refers to ‘road dust’, while in the Daghestanian context ‘indoor dust’ seems preferable. For compatibility, both contexts are included, but the ‘indoor dust’ should be given preference.",1. Стол в дедушкиной комнате покрылся пылью. 2. При ходьбе по сухой земле вверх поднимается пыль.,"1. The table in grandfather’s room got covered with dust. 2. When the ground is dry, you kick up dust when you walk.",425,35,0,final,
4,4,ГРЯЗЬ,MUD,1,,n,640,"Дорожная грязь, остающаяся на одежде.",Road dirt which sticks to clothes.,"Когда я пришёл домой, я счистил грязь с ботинок.","When I came home, I cleaned dirt from my shoes.",426,0,0,final,
5,5,ПЕСОК,SAND,1,,n,671,"Наиболее общее слово для материала, состоящего из мелких частиц минералов, ракушек, камней и т.д., различимых невооружённым глазом. Избегать терминов для специальных видов или цветов песка. Избегать слов для ‘пыли’, ‘грязи’ и относящиеся к типу почвы, а не к самому материалу. Не использовать слов для ‘пляжа’. (CoBL)","Most generic term for the loose material consisting of small particles of mineral, shell, rock etc., distinguishable by the naked eye. Avoid terms for specific types or colour of sand. Avoid terms referring to “dust” or “dirt”, where different. Avoid terms referring to soil type, where different. Avoid terms referring specifically to “beach” or “strand”. (CoBL)","1. Она просыпала песок сквозь руки. (CoBL) 2. Он взял в горсть песка. (GLD) 3. Я не знаю, что на том участке: земля или песок. (GLD)",1. She let the sand fall through her hands. (CoBL) 2. He took a handful of sand. (GLD) 3. I don’t know whether that site contains sand or earth. (GLD),423,133,71,final,
6,6,ГОРА,MOUNTAIN,1,,n,639,"Наиболее общее существительное для существенного повышения ландшафта, как правило, с крутыми склонами. Избегать терминов для отдельных типов гор; меньших возвышений (‘холм’, ‘курган’); частей горы (‘вершина’). (CoBL)Если есть особое наречие ‘в горах’ или специальное выражение для гор «вообще», вводить их как неосновные синонимы.","Most generic substantive for a considerable rise in the surface of the Earth, typically with steep slopes. Avoid terms for specific types of mountain. Avoid terms for smaller rises, e.g. “mound, hill”. Avoid terms for parts of a mountain, e.g. “peak”. (CoBL)",1. В Дагестане есть равнина и много гор. 2. На эту гору подниматься целый день. (GLD),1. There is a plain and many mountains in Daghestan. 2. It takes a whole day to climb this mountain. (GLD),405,104,56,final,
7,7,ХОЛМ,HILL,1,opt,n,614,"Возвышение земли меньшей высоты, чем гора. Поскольку специальное слово для холма присутствует не во всех языках, его заполнение факультативно. Включается в базу для совместимости с КК.","An elevation of the earth that is smaller than a mountain. Since a special term for ‘hill’ does not exist in all languages, filling in this meaning is optional. It is included for compatibility with Kibrik-Kodzasov.","1. Холм ниже горы. 2. На равнине нет гор, но бывают холмы.","1. A hill is smaller than a mountain. 2. On the plain there are no mountains, only hills.",408,0,0,final,
8,8,СОЛНЕЧНЫЙ СКЛОН ГОРЫ,SUNNY SLOPE,1,,n,0,"Часть горного склона, не находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","The part of the mountain slope that is not shaded by higher mountains. A core concept in Daghestanian languages, often expressed by underived locative nouns.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на солнечной стороне.",1. Grass dries up on the sunny slope faster than on the shady slope. 2. Herb X only grows on the sunny slope.,406,0,0,final,
9,9,ТЕНЕВОЙ СКЛОН ГОРЫ,SHADY SLOPE,1,,n,0,"Часть горного склона, находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","The part of the mountain slope that is shaded by higher mountains. A core concept in Daghestanian languages, often expressed by underived locative nouns.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на теневой стороне.",1. Grass dries up on the sunny slope faster than on the shady slope. 2. Herb X only grows on the shady slope.,407,0,0,final,
10,10,СКАЛА,CLIFF,1,,n,992,Близкий к вертикальному склон горы.,A vertical rock face (Wiktionary),Корова заблудилась и упала с края скалы.,The cow got lost and fell from the edge of a cliff.,409,0,0,final,
11,11,РАВНИНА,LOWLAND,1,,n,652,"Местность невысоко над уровнем моря, в противовес “горам”. В Дагестане — участок суши вдоль Каспийского моря.","An area that is relatively low above sea level, as opposed to ‘mountains’. In Daghestan the term refers to the strip of land along the Caspian sea.",1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте).,1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте). 1. My son went to live in the lowland. 2. Our village has pastures on the lowland. 3. We gathered at a plain (at a flat area).,0,0,0,final,
12,12,ДОЛИНА,VALLEY,1,,n,921,"Низменность между двумя горами; как правило, область, где протекает река.",A lowering between two mountains; usually an area where a river flows.,Долина находится между горами,The valley is between mountains.,0,0,0,final,
13,13,ПЕЩЕРА,CAVE,1,,n,1155,"Естественное подземное пространство, обычно связанное с поверхностное и достаточно большое, чтобы человек мог в него войти.","A natural underground open space, generally with a connection to the surface and large enough for a person to enter. (Concepticon)","1. Во время дождя мы укрылись в пещере. 2. Раньше людей жили не в домах, а в пещерах.",1. During a rainstorm we found shelter in a cave. 2 People used to live in caves instead of houses.,410,0,0,final,
