"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"1",,"1",,"ЗЕМЛЯ (ПОВЕРХНОСТЬ)","GROUND",,,,,"гамза","gamza","R(ground)","gamza",,,"micʼirakː gamzalid erdirar, baliqːi hinnicːid",,,,,,,,,"NPL",,,"itsari"
"1",,"1",,,,"pl","aux",,,"гамзурби","gamz-urbi","R(ground)-PL",,,,,,,,,,,,,,,,"itsari"
"1",,"1",,,,"loc.ess","aux",,,"гамзалцциб","gamza-l-cːi-b","R(ground)-OBL-INTER-CL3[ESS]",,,,,,,,,,,,,,,,"itsari"
"1",,"1",,,,"dat","aux",,,"гамзалий","gamza-li-j","R(ground)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"2",,"2",,"ЗЕМЛЯ (ПОЧВА)","EARTH",,,,,"гӀянчча","ʡaˁnčːa","R(earth)","ʡaˁnt͡ʃːa",,,"itil kur hejqːʷatːi ʡa̰nčːa tːura irxʷatːidi",,,"ʡaˁnčːalla kʷaš habicʼib",,,"het gamzaličid ʡaˁnčːaːl, qːumaːl, dam buχːatːejkːʷi",,,"NPL",,,"itsari"
"2",,"2",,,,"loc.ess","aux",,,"гӀянччалцциб","ʡaˁnčːa-l-cːi-b","R(earth)-OBL-INTER-CL3[ESS]",,,,,,,,,,,,,,,,"itsari"
"2",,"2",,,,"dat","aux",,,"гӀянччалий","ʡaˁnčːa-li-j","R(earth)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"3",,"3",,"ПЫЛЬ","DUST",,,,,"хъвясса ","qʷaˁsːa","R(dust)","q͡χʰʷaˁsːa","пыль, зола","dust, ashes","χatːajla qilibce ustul qʷaˁsːal čibicːibcab",,,,,,,,,"NPL",,,"itsari"
"3",,"3",,,,"loc.ess","aux",,,"хъвяссалцциб","qʷaˁsːa-l-cːi-b","R(dust)-OBL-INTER-CL3[ESS]",,,,,,,,,,,,,,,,"itsari"
"3",,"3",,,,"dat","aux",,,"хъвяссалий","qʷaˁsːa-li-j","R(dust)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"4",,"4",,"ГРЯЗЬ","MUD",,,,,"хӀяшш","ħaˁšː","R(dirt)","ħaˁʃː",,,"qil saˁqʼibqːilla, dila tːapri ħaˁšːil dirqːˁiblidi",,,,,,,,,,,,"itsari"
"4",,"4",,,,"dat","aux",,,"хӀяшшлий","ħaˁš-li-j","R(dirt)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"5",,"5",,"ПЕСОК","SAND",,,,,"къум","qːum","R(sand)","qːum",,,"ilila tʼipːalla urkːar gudal qːum argatːidi",,,,,,,,,,,,"itsari"
"6",,"6",,"ГОРА","MOUNTAIN","sg",,,,"дубура","dubura","R(mountain)","dubura",,,"dubrid macːa čidigacad",,,"itil ħaˁwanti dubrij dičij derčib",,,,,,,,,"itsari"
"6",,"6",,,,"loc.ess","aux",,,"дубриб","dubri-b","R(mountain).LOC-CL3[ESS]","dubrib",,,,,,,,,,,,,,,"itsari"
"6",,"6",,,,"pl","aux",,,"дубурти","dubur-ti","R(mountain)-PL","duburtʰi",,,,,,,,,,,,,,,"itsari"
"6",,"6",,,,"dat","aux",,,"дубуррий","dubur-ri-j","R(mountain)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"8",,"8",,"СОЛНЕЧНЫЙ СКЛОН ГОРЫ","SUNNY SLOPE",,,,,"ссанала","sːana-la","R(sunny.slope)-NMLZ","sːanala",,,"sːanal qʼar ixʷil duʁar, xːaˁnad deqe kalugan",,,"ilizid qʼar sːinpːacːidakːʷal dikʼekʼar",,,,,,,"Locative noun",,"itsari"
"8",,"8",,,,"loc.ess","aux",,,"ссанаб","sːana-b","R(sunny.slope)-CL3[ESS]","sːanab",,,,,,,,,,,,,,,"itsari"
"8",,"8",,,,"loc.lat","aux",,,"ссана","sːana","R(sunny.slope)[LAT]",,,,,,,,,,,,,,,,"itsari"
"8",,"8",,,,"pl","aux",,,"ссинппи","sːin-pːi","R(sunny.slope)-PL",,,,,,,,,,,,,,,,"itsari"
"9",,"9",,"ТЕНЕВОЙ СКЛОН ГОРЫ","SHADY SLOPE",,,,,"хьхьянала","xːaˁna-la","R(shady.slope)-NMLZ","xːaˁnala",,,"sːanal qʼar ixʷil duʁar, xːaˁnad deqe kalugan",,,,,,,,,"NSG","Locative noun",,"itsari"
"9",,"9",,,,"loc.ess","aux",,,"хьхьянаб","xːaˁna-b","R(shady.slope)-CL3[ESS]","xːaˁnab",,,,,,,,,,,,,,,"itsari"
"9",,"9",,,,"loc.lat","aux",,,"хьхьяна","xːaˁna","R(shady.slope)[LAT]",,,,,,,,,,,,,,,,"itsari"
"10",,"10",,"СКАЛА","CLIFF","sg",,,,"хъичӀа","qičʼa","R(cliff)","q͡χʰit͡ʃʼa",,,"qʼʷaˁl qičʼajirgubal hukːbaʁib",,,,,,,,,,,,"itsari"
"10",,"10",,,,"loc.ess","aux",,,"хъичӀайиб","qičʼa-ji-b","R(cliff)-LOC-CL3[ESS]","q͡χʰit͡ʃʼajib",,,,,,,,,,,,,,,"itsari"
"10",,"10",,,,"loc.lat","aux",,,"хъичӀай","qičʼa-j","R(cliff)-LOC[LAT]",,,,,,,,,,,,,,,,"itsari"
"10",,"10",,,,"pl","aux",,,"хъичӀми","qičʼ-mi","R(cliff)-PL","q͡χʰit͡ʃʼmi",,,,,,,,,,,,,,,"itsari"
"10",,"10",,,,"dat","aux",,,"хъичӀалий","qičʼa-li-j","R(cliff)-OBL-DAT",,,,,,,,,,,,,,,,"itsari"
"11",,"11",,"РАВНИНА","LOWLAND","sg",,,,"диркьва","dirqʼʷa","R(plain)","dirqʼʷa",,,,,,,,,,,,,,,"itsari"
"11",,"11",,,,"loc.ess","aux",,,"диркьваниб","dirqʼʷa-ni-b","R(plain)-LOC-CL3[ESS]","dirqʼʷanib",,,,,,,,,,,,,,,"itsari"
"11",,"11",,,,"loc.lat","aux",,,"диркьван","dirqʼʷa-n","R(plain)-LOC[LAT]",,,,,,,,,,,,,,,,"itsari"
"12",,"12",,"ДОЛИНА","VALLEY","sg",,,,"къаттала","qːatːa-la","R(valley)-NMLZ","q͡χʰatːala",,,,,,,,,,,,,"Locative noun",,"itsari"
"12",,"12",,,,"loc.ess","aux",,,"къаттаб","qːatːa-b","R(valley)-CL3[ESS]","q͡χʰatːab",,,,,,,,,,,,,,,"itsari"
"12",,"12",,,,"pl","aux",,,"къаттурби","qːatː-urbi","R(valley)-PL","q͡χʰatːurbi",,,,,,,,,,,,,,,"itsari"
"12",,"12",,,,"loc.lat","aux",,,"къатта","qːatːa","R(valley)[LAT]",,,,,,,,,,,,,,,,"itsari"
"13",,"13",,"ПЕЩЕРА","CAVE","sg",,,,"умхха","umχːa","R(cave)","ʔumχːa",,,,,,,,,,,,,,,"itsari"
"13",,"13",,,,"loc.ess","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"13",,"13",,,,"pl","aux",,,"умххиппи","umχː-ipːi","R(cave)-PL","ʔumχːipːi",,,,,,,,,,,,,,,"itsari"
"14",,"14",,"ВОДА","WATER","sg",,,,"гьин","hin","R(water)","hin",,,,,,,,,,,,"NPL",,,"itsari"
"14",,"14",,,,"pl","aux",,,"гьинби","hin-bi","R(water)-PL",,,,,,,,,,,,,,,,"itsari"
"15",,"15",,"МОРЕ","SEA",,,,,"урхьхьу ","urxːu","R(sea)","ʔurxːu",,,,,,,,,,,,"NPL",,,"itsari"
"16",,"16",,,,"pl","aux",,,"урхьни","urx-ni","R(sea)-PL",,,,,,,,,,,,,,,,"itsari"
"16",,"16",,"ПЕНА","FOAM",,,,,"хьвярхьвя","xʷaˁrxʷaˁ","R(foam)","xʷaˁrxʷaˁ","пена на реке","foam on a river",,,,,,,,,,"NPL",,,"itsari"
"16",,"16",,,,"pl","aux",,,"хьвярхьвин","xʷaˁrxʷ-in","R(foam)-PL",,,,,,,,,,,,,,,,"itsari"
"17",,"17",,"ОЗЕРО","LAKE","sg",,,,"шар","šar","R(lake)","ʃar",,,,,,,,,,,,,,,"itsari"
"17",,"17",,,,"pl","aux",,,"ширми","šir-mi","R(lake)-PL","ʃirmi",,,,,,,,,,,,,,,"itsari"
"18",,"18",,"РЕКА","RIVER","sg",,,,"аркӀв","arkʼʷ","R(river)","ʔarkʼʷ",,,,,,,,,,,,,,,"itsari"
"18",,"18",,,,"pl","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"19",,"19",,"РУЧЕЙ","CREEK","sg",,,,"гӀятӀа","ʡaˁtʼa","R(stream)","ʡaˁtʼa","маленькая струя, в т.ч. пота, воды с крыши и т.д.","small stream, including sweat, water from leaking roof etc.",,,,,,,,,,,,,"itsari"
"19",,"19",,,,"pl","aux",,,"гӀятӀиппи","ʡaˁtʼ-ipːi","R(stream)-PL","ʡaˁtʼipːi",,,,,,,,,,,,,,,"itsari"
"20",,"20",,"РОДНИК","SPRING","sg",,,,"кьулла ","qʼulla","R(spring)","qʼulːa",,,,,,,,,,,,,,,"itsari"
"20",,"20",,,,"pl","aux",,,"кьуллиппни","qʼull-ipːni","R(spring)-PL","qʼulːipːni",,,,,,,,,,,,,,,"itsari"
"21",,"21",,"БОЛОТО","SWAMP","sg",,,,"кабурц","kaburc","R(swamp)","kʰaburt͡sʰ",,,,,,,,,,,,,,,"itsari"
"21",,"21",,,,"pl","aux",,,"кабурци","kaburc-i","R(swamp)-PL","kʰaburt͡sʰi",,,,,,,,,,,,,,,"itsari"
"22",,"22",,"ЛЕС","FOREST","sg",,,,"вацӀа","wacʼa","R(forest)","wat͡sʼa",,,,,,,,,,,,,,,"itsari"
"22",,"22",,,,"pl","aux",,,"вацӀурби","wacʼ-urbi","R(forest)-PL","wat͡sʼurbi",,,,,,,,,,,,,,,"itsari"
"23",,"23",,"КАМЕНЬ","STONE","sg",,,,"къаркъа","qːarqːa","R(stone)","qːarqːa",,,,,,,,,,,,,,,"itsari"
"23",,"23",,,,"pl","aux",,,"къиркъин","qːirqː-in","R(stone)-PL","qːirqːin",,,,,,,,,,,,,,,"itsari"
