"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"1",,"1",,"ЗЕМЛЯ (ПОВЕРХНОСТЬ)","GROUND",,,,,"онши",,,,,,,,,,,,,,,,,,"zilo"
"1",,"1",,,,"loc.ess","aux",,,,,,,,,,,,,,,,,,,,,"zilo"
"2","1","2",,"ЗЕМЛЯ (ПОЧВА)","EARTH",,,,,"онши",,,,,,,,,,,,,,,,,,"zilo"
"3",,"3",,"ПЫЛЬ","DUST",,,,,"кьехва",,,,,,,,,,,,,,,,,,"zilo"
"4",,"4",,"ГРЯЗЬ","MUD",,,,,"цӀцӀерти",,,,,,,,,,,,,,,,,,"zilo"
"5",,"5",,"ПЕСОК","SAND",,,,,"писок",,,,,,,,,,,,,,,,,,"zilo"
"6",,"6",,"ГОРА","MOUNTAIN","sg",,,,"бил",,,,,,,,,,,,,,,,,,"zilo"
"6",,"6",,,,"pl","aux",,,"биладул",,,,,,,,,,,,,,,,,,"zilo"
"6",,"6",,,,"loc.ess","aux",,,"?",,,,,,,,,,,,,,,,,,"zilo"
"7",,"7",,"ХОЛМ","HILL","sg",,"opt",,"гъижи",,,,,,,,,,,,,,,,,,"zilo"
"7",,"7",,,,"pl","aux","opt",,"гъижадул",,,,,,,,,,,,,,,,,,"zilo"
"7",,"7",,,,"loc.ess","aux","opt",,"?",,,,,,,,,,,,,,,,,,"zilo"
"8",,"8",,"СОЛНЕЧНЫЙ СКЛОН ГОРЫ","SUNNY SLOPE",,,,,"милъийол",,,,,,,,,,,,,,,,,,"zilo"
"8",,"8",,,,"loc.ess","aux",,,"милъийолъа",,,,,,,,,,,,,,,,,,"zilo"
